review,date_of_review
"This hotel was really relaxed and comfortable, the people who work there are lovely and helpful, the breakfast was amazing, and the location is a very short walk to the Falls. Highly recommend. We arrived early at 11am and were allowed to checkin and taken straight to our room without any issues.",2017-05-19
We spend three days in this grand historic hotel and it was fabulous.,2017-09-18
Good but expensive----------------------------------------------------------------------------------------------------------------------------------------------------,2023-04-05
"Great location at a very good price. Staff are excellent and friendly. Food of good quality. Clean and all facilities you could want. 
Internet when it works is fine, but needed to have new password and pin daily. Not a problem but an inconvenience. 
Love to have food and a beer by the pool and not have to pay silly prices, so very pleased with this when you can have a beer and lunch for less than $20.
Certainly would go back and have no problem to recommend this hotel to anyone",2021-12-03
"Great location for visiting Victoria Falls National Park and the bridge. It is 5 to 10 minutes walk to the entrance for the falls, either by road or a short cut at the rear of the hotel - both are very safe as is the township of Victoria Falls.
The hotel is very impressive, the buffet breakfast and dinner has been the best we have had in our 5 weeks in southern Africa. The staff were all very professional, helpful and friendly. Would reccomend this hotel to anyone who wants to go and see Victoria Falls.",2016-10-04
"Great easy location to the Falls.  Could walk there easily as well as to the village. There are many street ""vendors"" as you leave the property who are relentless.",2023-08-11
Loved every minute,2015-12-04
"Nice, confortable and friendly experience",2014-05-08
"Amazing staff, professional and friendly.  Room very clean, a good size, with a balcony, though very basic and lacking in appeal.  No refrigerator, lighting poor, though a free, secure safe.  Wifi free, slow yet adequate.  Breakfast very good, evening meal expensive, it's a buffet, with very little choice, rather eat at the Spur, which is within the hotel, or at Boma, or the Victoria Falls Hotel, which is within walking distance.  We chose this hotel because of its proximity to Victoria Falls, yet this proved to be unimportant, as for tours you are collected from your hotel, so being further away is no problem.  This is a large hotel, with maze like corridors, and for us, it was quite a trek to our room.  The view from the room was pleasant, but not breathtaking. There is a small outside bar, where snacks and drinks may be purchased, service is slow!  Rather take a seven minute walk through the park to the Outlook Cafe, excellent views, and amazing food.  Enjoyable evening entertainment at the buffet, traditional musicians, though the experience was spoilt afterwards by being harassed by the entertainers to buy their cd's or dvd's.  Although the staff are superb, I would not return to this hotel, as the Victoria Falls Safari Lodge has so much more to offer.  However, I did truly enjoy my stay at The Kingdom.",2022-09-24
"Great location, nice pool area, good breakfast,",2016-11-13
The Hotel staff were very friendly. The location of the Hotel in relation to Victoria falls is good.,2020-09-22
"Reception, common areas and pool beautiful. Rooms clean but a bit dated. Staff, especially Lisilwe and Brian, go out of their way to accommodate you. Easy walk to Falls and town",2017-06-25
"Friendly receptionists, great service by porters, bar staff, etc. Close to spectacular Vic Falls.",2016-10-05
"This hotel is in a great location. Easy walking distance to Falls, lookout cafe, Victoria falls hotel, town shops and restaurants. The decor in the main areas is completely over the top ... like a B grade movie set it adds to the experience! Accommodation good. Facilities good. Bathrooms could do with a revamp.",2021-04-12
"We were warmly greated with a cold glass of mazoe ,check in waa pleasant and we got 2 rooms next to each other .We had requested adjoining rooms but just got 2 rooms next to each other ,no big deal we made it work. Our porter  insisted on walking us to our rooms and explained all the room features and that came in handy as some features needed explanation. The next 2 mornings breakfast was served from 6am -10 am with lots of varieties. Food waa well prepared and hot,our tea was served promtly and they had soy milk as a non diary milk option which was delicious!!!.We enjoyed the pool and there was plenty of towels and enjoyed some drinks by the pool which was not crowded at all.We ate from the hotel restaurant:Spurs and the food and service was excellent. Our overall 3 day 2 night stay was  marvellous can not fault this hotel for anything at all.Well done guys!! Keep the standards going!!",2017-09-13
"Great location easy to get around, a very good activity desk who will chop and change what you want as you want it",2017-09-22
"The staff was very friendly and helpful. Very easy to book activities in the lobby. The food was awesome at the restaurant downstairs. When it rained, there were several hotel staff there waiting with large umbrellas to escort you wherever you wanted to go. The rooms were very clean and comfortable. The air conditioning worked great. Very roomy. We had a porch that overlooked an area where wildlife (baboons, wart hogs, birds) was sometime present. Wi-Fi was strong with a fair speed. Would of liked to have a microwave in the room (we did ask the kitchen if they would microwave two bags of popcorn we brought with us - they wanted $10 per bag).  Some reviews had mentioned mosquitos in rooms but we did not see any. We liked the fact that the Casino was separate from the hotel. A great experience.",2023-12-10
We had 3 days at the Kingdom Hotel which were really enjoyable ..... a great base for seeing the awesome Falls and taking advantage of the other activities on offer.,2017-01-05
"Very good four star hotel, excellent breakfast, good wifi, good rooms, friendly staff. Walking distance to the Falls entrance and also downtown. Airport transfers were on time.",2019-04-08
Staff were so helpful with very fast check in.  Free water in the room and tea and coffee making facilities.  Lovely welcome by ducks outside on the balcony.  So nice to be in a low level hotel with only two floors.,2020-09-29
"We really enjoyed this property, it's big with a pool in the middle, great breakfast that is included, staff is friendly. Rooms are decent. I'd recommend this hotel. The hotel is a 5-7 min walk to the falls and has a back entrance and a 5 min walk to town and is also next to the Vic Falls Hotel which has great views of the bridge to have a meal or snack on that property.",2017-09-17
"Excellent staff, good food, nice comfy rooms,pleasant decor and a real African feel.
Close to all major attractions.",2020-12-03
"This hotel is quite large with alot of wings but it has a great central pool area and restaurant. Nightly dancing at the restaurant by local dancers. Very well connected with travel and tour companies. Only a few minutes walk to the town and Vic Falls, Zambia border.",2017-11-28
"Very nice hotel. Good service. Rooms should have had fridges. But other than that, great place to stay.",2018-10-02
very nice apart from the mosquito's.,2021-07-18
Nice and quiet. Friendly staff. Beautiful property. Included breakfast buffet,2022-11-25
"Positive   but so insular from the outside world 


You could be anywhere.  In the current chaos of Zimbabwe a relief but usually for me to insular and disconnected",2021-05-28
"Hotel with a lot of potential if they updated their rooms. Mosquito nets required but not hung. Hard mattresses and lumpy pillows. Cannot enjoy terrace much due to mosquitos. Great location, walking distance to Victoria Falls and 2 minute drive from city center. Good buffet food for breakfast and dinner. Nice staff, well decorated.",2022-05-06
"Very disappointed in the hotel after seeing reviews. First, the hotel is very outdated and needs renovation.  Our first room was terrible and dirty with sand on the floor. The hotel did give us a new room, but one filled with mosquitos. We traveled during peak mosquito season- but clearly the cleaning staff was not aware of that as they'd keep doors and windows open during cleaning- so all mosquitoes got back into the room. Additionally- we had a do not disturb sign on door- and staff still entered room. All they needed was simple ceiling fans in hallway to keep mosquitos from room doors.
The food was terrible and over priced. Just terrible. Lastly, they wanted us to pay for transfer. Instead of waiting til check out, they stopped the key from functioning so we had to go to the front desk. Really don't know how this place is 4 star. More like 2 star,  if that",2016-01-18
"The facility was very nice... lovely pool area, room was spacious, restaurant had a lot of variety and the grounds were incredible.  As the weather was getting more humid and wet (end of November), the only issue would be mosquitoes.  I would recommend spraying your room before unpacking and keeping  bug spray with you when dining at night.",2014-11-14
Stayed 4 nights room was very comfortable and clean.  Would have been nice to have a small fridge in room.  Breakfast was excellent with lots of choice.  Wi-Fi was not working when we were there.  Staff were friendly and very helpful.  The location of the hotel is excellent as you can walk to both the Falls and the village itself.,2019-10-16
The Hotel was very confortable and at walking distance from the Falls and the village of Victoria Falls. The room was spacious with a balcony facing the lake. The hotel has beautiful gardens and a decor with an african ambience.,2020-09-26
Great location to the Falls and the local village. I felt the hotel was quite expensive for what was on offer but this seems normal for this location. Was disappointed that there was no fridge in the room. Staff were always very friendly and helpful. Would have preferred al la carte dining rather than only smorgasbord in the dining area.,2015-07-19
"lovely staff, friendly , professional and welcoming.",2017-04-27
"Good,",2022-06-26
beautiful property but the rooms need to be better maintained. Parts of the shower taps and sink vanity were missing. For the price paid you should be provided with a small fridge and not have to use powdered milk and drink warm water. Breakfast buffet okay but could have more options.,2016-05-14
Good hotel close to the Victoria Falls area.  Street souvenir sellers were constant and persistently annoying.,2015-04-02
10 minute walk to the falls. Be prepared for pressure from locals trying to sell you souvenirs.  At least they aren't just begging for money. The hotel is beautiful but but oddly laid out so will need to go up and down stairs to get to the rooms. No elevator.  Breakfast buffet had lots of variety though was the same both mornings we were there.,2022-02-25
"The Kingdom Hotel is ideally situated just a 5 minute walk from the entrance to Victoria Falls.  The hotel grounds are beautiful and well-cared for.  The ""deluxe"" rooms are quite nice although on the small size.  The balconies are lovely.  The non-deluxe, twin bed rooms are very small and disappointing.  The staff - particularly the guards are wonderfully helpful and friendly.  The restaurant and the staff were extremely disappointing. On all mornings (3) of our stay the buffet breakfast was poorly run - many items on the buffet were already consumed (breads, cheeses, yogurts, etc) and no attempt was made to replenish these.  When I requested a large glass to obtain water and juice from the buffet (where they have only very small glasses), I was told large glasses were not available.  I persisted and was finally provided a large glass.  With few exceptions, the wait staff were unpleasant, unhelpful and uninterested in being of service.",2015-06-03
Front desk personnel were very friendly and managed to check us in early.  Great service.  At breakfast the dining room ran out of coffee.,2022-08-08
The rooms have been poorly maintained. First of all there were bed bugs! I had over 50 bites during the first night. The AC wasn't working. We had to switch room. Furthermore the bath towels had holes. It needs a major renovation. The dinner buffet was not good at all.,2023-04-12
"Unreliable WIFI and electricity, however, I assume it is normal in ZW.
Most staff are nice, however, a bit of personal touch could be added, eg, advice on transport, advice of different sightseeings and best ways of doing things around there...etc.
The hotel is a bit tired but overall ok.",2022-03-05
"the hotel is great location and  too many mosquito, food is ok service is ok you cant expect more... is huge hotel  they try to do there best",2018-10-23
"Comfortable room, clean, convenient to the Falls, excellent breakfast.  Very impressive property!",2015-05-22
"The pool was pleasant and our room was fine, with balcony overlooking the bar & pool, which was nice in the morning, but too much sun in the afternoon. Breakfast had a good selection and was good, but service was slow for coffee. We had snack at the bar..... Very slow, but good samosas & burger.",2022-05-24
"Front of house staff are friendly but that is where the service stopped. 
When requesting replacement of milk in our room because it had gone off, we were informed that we would have to pick it up from reception. The room was very small - too small to house two suitcases plus the bed.  Wifi was difficult to log on to. 
No sheets on the bed and the tissue box was empty. The toilet is so small that a large person would not fit. 
On the positive side it is located close the the airport in the Kindom Casino complex. There is a free shuttle to the airport.",2015-01-10
"Very, very friendly and helpful staff.
Excellent breakfast.",2015-11-08
"This is by far the best hotel I have stayed in! The best welcome I`ve ever received. Felt l was home! 
Kingdom l can not thank you enough for a lovely stay, it was my sister`s birthday and they upgraded us to a Kings suite for free! Which I thought was very kind of them and honestly unexpected. 
Van/Venna (sorry can`t remember her name) thank you. The staff are always smiling and happy to help. 

The environment is very relaxing and peaceful. Had the baboons and monkeys greet us good morning as well which was nice to wake up to :). Great wildlife around. 

Breakfast! I cant give it justice here, you  have to experience it yourself to just understand. 

Totally recommend this hotel to anyone travelling to Vic Falls. It might sound ridiculously over priced, but trust me your money will be worth it! 

Definitely coming back again!",2018-12-21
"The Kingdom was a very comfortable hotel with good service. The staff was very attentive and helpful. The food was very good at breakfast. We didn't eat lunch or dinner there. We stayed at another hotel when we came back from safari that was more expensive, but it was not better. You will have a nice stay at The Kingdom.",2021-03-09
"The staff were amazing and could not do enough to help. I became ill one morning and was walking to reception from our room when I could not go any further. The staff were quick to provide a wheel chair so i could sit down and get to the bathroom. they called an ambulance (and even paid for it) and got me to hospital quickly. The overnight stay in hospital came to over USD 1,200 so I can only imagine how much extra the ambulance trip would have cost us. Thanks to to management and staff at the Kingdom.",2014-07-15
The 15 day biking tour starting from South Africa finished for us at kingdom hotel.   My bag which was strapped across my body with phone money and credit cards was stolen off me without me noticing.  The manager went to a lot of trouble retrieving cctv footage which showed me leaving the hotel with bag and returning 11 mins later without it.    At least I knew it happened in the street and not on the hotel premises.   The staff at the kingdom were very friendly and helpful.  Biggest problem was the venders outside hastling the tourists,2023-04-07
"the hotel exceeded our expectations, better than the pictures online. convenient to shopping, the falls, the Zambian border. Good breakfast. If any issues, suggest you try the guest desk where they sell excursions - they were very helpful.",2019-06-27
"We were only able to stay one night at your hotel, due to our other travel plans.  We enjoyed the short time we were there, the surroundings and little town.  Your breakfast was huge and plentiful.  Delicious too.  We will definitely return some day.",2023-01-16
"Nice hotel in a great location. Very friendly and helpful staff, couldn't be faulted. 
On the negative side, the restaurant is good for breakfast but poor for dinner. And there aren't many good restaurants to visit nearby. I don;t understand why the hotel doesn't have a better restaurant, or tow or three restaurants to choose from. Guests don;t really want to go out, but they have to because the restaurant is poor. Also the wifi was very unreliable. Nearly a great hotel, but not quite!",2016-07-24
"The falls were great but the village is run down, littered and dusty. Tourists are constantly harassed by street vendors. The kingdom is an expensive budget hotel, our room was very basic with few amenities, the breakfast buffet was very average.  We had a buffet dinner and cultural show next door at the the Vic Falls Hotel which was fabulous.  We also took a Sunset cruise which was superb and would recommend.  We stayed two nights and this was enough to see the falls and do the cruise.  Happy to have visited but would not go back.",2021-08-05
"I stayed a week at the Kingdom -- longer than most tourists, I gather, who largely only come for a day or two. I can recommend the hotel for a long stay. It is a pretty place, a ten-minute walk from Victoria Falls, with a large menu of activities that can be arranged through the Adventure Connection desk -- safaris, rafting, ziplining, sunset cruises, walking with lions, you name it. I stayed busy my whole time. The staff were wonderful. I had some difficulties with my luggage, which was delayed and then got stuck at customs at the airport, so that I had to go fetch it. The staff tried to negotiate for me with the airport, then arranged for me to share someone else's airport transport, to save me some money. They gave me a complimentary spa treatment and drinks by the pool to make up for the trouble I'd had. And for the next couple of days, when I saw various staff, they would ask, ""did you get your bag OK?"" Made me feel well taken care of. I could easily have stayed another week.",2017-02-21
My stay at Kingdom Lodge was very pleasant. The staff was extremely helpful and I enjoyed the breakfast.,2016-05-08
"5 mins walk to falls, but hotel bit run-down and not maintained!  We were in Kings Club but nothing special was done or felt like in service.  Service very slow in general and food choices bare-bones, a second restaurant they have has menu but offers only few items.  Wifi service is terrible as well.",2015-01-20
The  Kingdom was a very nice hotel. The people could not have been nicer or more helpful. It is close to the Victoria Falls and local shopping. Able to walk to everything. Enjoyed my stay and would stay there again.,2015-04-22
"generally a good hotel with excellent service. However, the internet service was terrible and staff was not helpful with this. Also, we did not have mosquito netting in our room and woke up covered with mosquito bites.",2020-06-23
"Excellent hotel, great value for money and excellent breakfast.",2020-05-05
"Although not a five star by any means this hotel and it's grounds are stunningly beautiful. It's very resort like so while inside there's only a view of its gardens (unlike the Victoria Falls hotel nearby which actually looks onto the gorge and the mist of the falls in the distance). The gardens are pretty though. Rooms are OK comfort-wise. Not dingy but not overly fancy. Modern, spacious bathroom with nice hot showers. Breakfast is a big spread buffet style with lots of options. Best part is that you have a back path to the gorge lookout and the falls are like 10 minutes walk away. It's also close to town so you can go to the shops and cafes in 5 minutes on foot. Staff are all very friendly.",2014-01-01
"We stayed at the Kingdom July 6-7.  Hotel exterior was clean, the check-in was quick, the rooms are clean.  The bed is quite firm, the shower head is along the side of the tub, not the traditional end of the tub you may be accustomed to, and the shower curtains don't cover the entire side of the tub.  Still, that wasn't a problem.  Bring power converters/adapters as necessary and keep your balcony doors locked to prevent unwanted visits by the local monkey population (good advice for all Vic Falls hotels).  The hotel is large, well situated and convenient (walking distance) to most locations in Vic Falls.",2017-04-29
"Had a great time , hotel breakfast was really good. The falls were spectacular as were the activities..this hotel is so centrally situated",2014-12-04
"Nice hotel with a walking path to Victoria Falls, rooms are clean and spacious, only negative is the room had mosquito's. The dinner buffett was pricey so we choose to walk to a nearby restaurant.",2023-10-30
Had a wonderful stay at The Kingdom. Really enjoyed the elephant having breakfast every morning in the bush outside our room. Great breakfast. Beautiful grounds. Excellent location.,2021-02-26
"The location is great, the common areas are nice, the rooms themselves look a bit old but overall OK.

The WiFi in the rooms is unusable. It connects for 2 minutes then doesn't work for 2 minutes and so on (experienced by others too). I reported the problem, nothing was fixed.

Has I known this in advance I would probably not book the hotel.",2015-12-11
Superb hotel. I've always wanted to stay here and it exceeded my expectations. The hotel is greatly situated close to town and to the falls with its own private access to it. Would definitely recommend this to friends and would stay again,2021-06-05
Downside - the room did not have a fridge or a TV.,2015-03-11
"Thoroughly enjoyed staying at the Kingdom. Lovely room, beautiful grounds, relaxing pool, easy access to Vic Falls and other activities.",2023-05-03
Three star value at five star prices,2016-01-05
"We only spent one night in Vic falls to see the Victoria Falls and The Kingdom has a short cut to the falls, so excellent location.",2014-01-09
"We chose this hotel for it's value and proximity to the falls and were not disappointed.

We loved the hotel! We read some reviews that said it was in need of renovation, but aside from elevator doors that seemed to use a lot of effor to open, we though it had a great rustic African vibe.

There was a gate off the back of the property that was open from 6am to 6pm. There was a short walk through some public land to the Victoria Falls Park entrance. A security guard escorted us all the way. He warned us that there were wild animals out there, including elephants, but we were unlikely to see them through the foliage. There were several branches off the main route. Some leading to a restaurant or other hotels. Much to our chagrin, the path back had no signs indicating which paths would lead us back to our hotel. We decided to play it safe and stay on the main/paved path which ran along the road. It was a bit longer than crossing through the forest, but we knew we wouldn't get lost.

The walk into town was nice, but be prepared to be accosted by street vendors. They are very persistent, but harmless. Once you cut through the gas station parking lot across from the hotel, it is a short walk to shops where you can find restraunts, liquor, curios, salon (with a $5 mini-manicure special for Valentine's weekend) so we strolled arount there a while. There is also a craft market within walking distance with dozens of vendors of African Crafts.",2017-07-17
"We booked two rooms to be close to our friends...we couldn't have farther away.   In order to have two functioning rooms we had to move twice.
They don't have screens on the windows and there are so many bugs you can't leave the windows open.  when you leave your room the AC goes off, so when you return, the room is like a sauna.  Had a giant spider in my room.  The lobby is not air conditioned, so sitting their waiting for a pick up is very sweaty.   The check in was ridiculously slow as they wanted to explain a worthless point system.  Very cool exterior architecture but the personal rooms are nothing special.",2021-11-19
Horrible food! Leaking roof! Bad service...,2018-10-16
"Convenient walk to Vic Falls and Elephant Walk shopping. The grounds are breathtaking and the rooms are small, but adequate. It was convenient to have Wild Horizons located inside the hotel to book excursions with. That said...The Kingdom's food quality is terrible! Breakfast and dinner buffets were the worst we have been to. Poor selection and poor quality. DO NOT eat at this hotel...walk next door to Victoria Falls Hotel, or across the street to Nan Tuk Chinese/Thai. When we expressed our dissatisfaction with the food options and quality, the manager was very unresponsive. Other guests overheard and shared with us they felt the same way. We also wish either the hotel desk or Wild Horizons would have told us about other things within walking distance i.e. Overlook Cafe, etc. We found out about them from other guests as we were checking out. Quite disappointing.",2018-05-26
"The hotel reception staff were unfriendly when I asked to change rooms, because I was expecting a room with a balcony.
In our room, the balcony doors would not lock. The furniture in the room was dated and needed modernising.
The hotel breakfast was left to stand with nothing covering it up, so was subject to flies. When asking for a cappuccino at breakfast i waited 15 minutes the first day for it to arrive and 10 minutes the next day after asking 3 times.
The hotel location is excellent but was hassled and harassed every time I left the hotel.",2021-09-28
"Very friendly and helpful staff with special mention for Freedom, who tends the grounds, swimming pool, keeps the wildlife at bay and is always willing to take photos for guests. Having been warned about mosquitoes, we asked for a net for the bed and it was installed in our room within 10 minutes. No bites!
The waterfall is a 10 minute walk and Leon, one of the hotel security staff, escorted us as the path tends to have persistent hawkers, selling carvings. There is a lot of that in Victoria Falls, everywhere you go. Having seen the waterfalls, there is little else to go back for but for anyone who has not been we would recommend The Kingdom and The Boma restaurant nearby where we had a great time.",2014-03-25
"The Kingdom is like a faded movie star; definitely worn out and dated, but you can still see a semblance of its old glory around the edges. There was nothing really wrong with it (except the unacceptable lack of internet access in the rooms), but nothing outstanding, either (except the almost-perfect location between town and the falls.

I didn't hate it, but I didn't love it, either. Just like seeing an older movie star past his or her prime, I guess...",2020-11-10
"The hotel is in a great location. But it really needs to work on updating a lot of things.
The ""free-wifi"" just doesn't work, so you'll see everybody going down to the lobby to use it.
The bed is so uncomfortable your back will hurt.
Make sure you get breakfast included in your reservation. If you don't, you'll need to pay $27 (!!!!) per person for a buffet breakfast (which opens at 7, so it will probably not work with the activities where they pick you up at 7)
Also, get ready to pay $2 if you want a small bottle of water.
Ah, don't get laundry done! we did and they gave all our clothes back clean and folded (Yay!) but with a stapled paper tag on each piece (boo!) 2 or 3 staples for each tag, just in case... I spent a while removing about 80 staples. No discount after complaining ($46) Seriously, they ruined a few pieces...",2019-03-23
"It was a great getaway for the new year and the hotel couldn't be better. Beautiful, serene place.",2019-03-25
"Poor service, expensive, mediocre food and air conditioner not working in close to 40 degree heat and no offer to change rooms in spite of hotel not being full.",2019-06-16
A family holiday with my folks and sister. What a great stay. My mom is in a wheelchair and all of the hotel was very accessible for her. The staff went out there way to make sure you were ok. Didnt need to move more than a few steps from the pool chair to the bar before the barman came running to get our order. Even the lovely gentleman for pool towels brought us towels and helped us get in and out of the pool. The food was really good especially the breakfast which had a vast selection to suit all tastes. The bacon and the liver were exceptionally good. Worth every penny!!,2021-08-11
"Soo close to the falls which the ultimate bonus.
No fridge in the room :(",2018-05-17
This hotel is wonderful. It's location allows you to walk to Victoria Falls via a gate with a guard to help you on your way. From my room I could hear the sounds of the Falls and it made sleeping so wonderful. The breakfast is FANTASTIC with lots of food choices and eggs made to order. The staff at the hotel are very attentive and try very hard to make your stay a good one. I am already looking forward to my next stay there.,2014-12-24
"Nice room. No bathrobes. Breakfast fairly poor with terrible coffee and orange 'drink'. I asked if they had orange juice and, after trying to give me more of what I already had and didn't want, I was finally brought fresh juice.",2017-12-27
"Great location and well kept facilities for older hotel. However, in 2015 to ask $3.00 to use a computer to check-in for your flight and not having a printer for boarding passes is very outdated. Likewise, a flat rate buffet dinner ($27.00) should include water. $2 for each small bottle of water is a bit much. The hotel is operated on premise you won't be coming back so we'll nickel and dime you whenever we can.",2020-02-27
"This hotel is in need of a makeover. The setting is nice for the pool area and restaurant but that is about it. At $250USD a night it is very expensive for what you get. The rooms are quite spacious but there is no fridge, a shower in the bath and only black teabags provided (Rooibos had to be ordered through room service!). The buffet breakfast was terrible apart from the eggs and omelettes that are cooked to order. The fresh fruit is limited and tasteless, pastries are dry, pancakes are cold and many things run out. We chose not to have the buffet dinner here because of the breakfast. The pool bar was unable to provide cold beer or white wine. I had ice blocks in mine. The pools are not particularly clean with grit or dirt at the bottom.
The staff generally though are very helpful.
Why there is a casino here, I'm not sure. It is empty as are the 2 fast food restaurants and looks very tacky.
This hotel does not live up to it's advertising of features and facilities. It is however close to the Falls which was a main consideration for staying here.",2014-07-27
"This hotel is very convienent for a short stay in Victoria Falls. It is the closest to the Falls themselves which are a 5 minute walk away. It's a big chain type hotel. Rooms are and bathrooms are big and there is plenty of hot water, beds are confortable, but shairs are unfit to sit in. A bit of renovation could turn it into a 4star. Be aware that rooms on top floor may be very noisy due to humidity extractors on the roof. A/C is a joke. Nevertheless I would recommend for a 1-2 night stay and with what you save you can do some fine dining close by.",2023-04-19
"Victoria Falls was excellent!! The Kingdom Hotel made the stay that much more enjoyable. Staff was great, breakfast was great, security was great, location was great, dinner show was great, and value was outstanding!!!",2019-02-20
Perfect location to stay in Victoria Falls. Rooms are clean and comfortable. The staff is quite friendly. The town is safe for tourists. It's best to experience local restaurants for food and drink as the hotel buffet it very expensive.,2023-09-27
"Excellent service, friendly and helpful staff",2021-12-13
"Friendly and helpful staff, great facilities and refreshing pool for those hot days.  Morning breakfast was awesome, plenty of choice on offer to start your day with heaps of energy for all the nearby activities on offer!",2019-01-21
"We had a wonderful exprience, from reception and all round. Fantastic service.",2023-02-21
"Very good location for Victoria Falls - the back of the hotel has a gate on the path leading to the Vic Falls reserve & also leading to a lovely cafe on the edge of the gorge with a view to the railway bridge. The buffet breakfast & dinner were good & there was plenty of fun to be had in the pools. There are 4 pools, for ages from toddlers upwards. The grounds are nicely landscaped with indigenous vegetation & a haven for birds. The staff are lovely. We had a great time.",2022-07-27
A very pleasant stay and the hotel is a close walk to the Falls and into town so very well located. Staff and service were great. Will definitely be back!,2015-04-01
This is a beautiful hotel situated very close to Victoria Falls. Room was clean but had a couple of mosquitoes. Nothing a bit of DEET couldn't sort out! Staff was friendly although given the wrong room first but it was sorted out quickly.,2022-01-17
Great location to visit the Falls. You can walk there. You can also walk to/from the Zambia border to the hotel in about 10 minutes. No need for a taxi. Room was nice. Wifi didn't work too well. Staff were all very friendly and we were able to check in a couple hours early. This is also where the Intercape bus stops if you're going to Hwange National Park.,2023-03-18
"great place in Victoria Falls, close to everything, great value!",2019-03-26
An All Black Wallabies test was on live TV in the Hotel -  Bonus.,2020-01-31
"The Hotel did really give you a Kingdom feel with the architecture of its entrance and setting - spacious, quiet, and roomy. Rooms could be reached by walking through their garden and pond with big fat ducks swimming around, which created a peaceful environment and relaxing atmosphere throughout the complex. Footpath at the back of the Hotel leading to part of the Victoria Falls in about 5 - 10 minutes’ walk with a few warthogs near the Bar. One could easily spend some time there in the lazy afternoon or take the short trail to admire the Falls from a distance.

The Kingdom was located close to town (5 minutes’ walk) where different types of eateries were there. One could easily walk to town for lunch and dinner (better take the taxi for return at night). It was a good location to be picked up for activities and sightseeing at the Falls.

Room was large but a bit dated with old furniture. We got a room with balcony overlooking the pond which was a nice and pleasant spot to relax after the day’s activity. Breakfast was included in our room rates but food was just average.

During the time of our visit, The Kingdom was not very crowded and it appeared that it was a place popular with matured couples and seniors.",2019-08-20
We booked 2 rooms for the Victoria Falls Marathon.  Knowing that we would not be able to check out at the required time we asked for an extension. The staff was accommodating and when we checked out we received a boxed breakfast that we devoured after the race.,2015-04-16
"This hotel is in wonderful location, you can walk out the back gate and down the path way to the falls. The room was comfortable with a nice balcony overlooking the ponds. However a refrigerator in the room would have been good. The restaurant only offers a buffet dinner at night but if this doesn't appeal to you, there are good restaurants nereby. Overall the hotel is slightly rundown but much less expensive than it's famous neighbour",2022-11-05
"This was a one day/one night stop over to see the Falls and surrounds.
We packed as much as was possible into the time we had and the Hotel played it's part in this regard.
Room was ready mid morning,staff were particularly helpful in organising activities/sightseeing etc",2016-04-08
Great stay at the hotel within walking distance of Victoria Falls and town centre.  Great vibe and outdoor pool area.,2018-07-19
"Excellent location, excellent food, great room and most of all a great staff. Very helpful in everyday. I travel all the time literally and this was a great experience.",2023-06-27
"I found the hotel a good value and quite comfortable overall. I was a little surprised that you have to make special arrangements to charge drinks/dinner to your room while there, but it worked out.",2016-10-17
The hotel is very close to the falls.  We just walked about 1/3 mile.  Beware of the elephants!  Near this hotel is a restaurant overlooking the gorge.,2016-12-20
Excellent service and location.  Great experience,2022-03-28
On my arrival I was escorted to my room which I requested to be changed as I do not like stairs. This was done within a couple of minutes without any fuss. A buffet is offered every night. African entertainment during the dinner. Pools are nice and clean. Rooms are clean and serviced every days,2014-10-14
Very close to the Falls even a path that leads to the gorges. Beautiful settings with monkeys and birds around the hotel.Very African.,2014-11-20
"this was a 3 star hotel, but we thought it should have been 4 star.
clean room huge bed good size bathroom and balcony overlooking the pool and natural lake. Be prepared to use US dollars. The hotel was walking distance to the Falls and small township. If you want to make trips into the surrounding areas, ie Chobe Nat Park make sure you have the multiple visa entry costing US$50.00 at the Zimbabwe airport. Very good breakfast. Friendly staff.",2016-02-18
Nothing special,2020-03-03
"The place is well located, very nice grounds and general areas very well kept, casino okay but was empty when I was there, beds on the hard side for my liking, shower/tub little funky, good pressure and plenty hot water, just old narrow tub and shower head on side not end as usual. If you walk to the Falls the hawkers are relentless!!!",2019-06-28
"I  they had better wifi service 
The problem I had was with the high dinner prices",2021-09-06
"Only stayed one night,too short,and will go back as plenty to see and do in Vic Falls.Very safe and friendly.But using US dollars it is a bit expensive but well worth a visit.",2023-12-11
Fantastic stay... great ambiance & decor... coupled with very helpful staff made our stay quite memorable. Will stay there during next trip as well; & recommend it for anyone planning for a great vacation there.,2021-08-10
Super,2023-07-07
We had a fabulous time! The hotel was very clean and very safe. We booked with Expedia and breakfast was included which was helpful before our early morning excursions we booked through Wild Horizons which is in the lobby.,2016-07-17
Excellent! !,2020-06-09
"first room a/c didn't work, so it was too hot.
2nd room a/c wouldn't turn off so it was too cold.
found cockroach in first room.
food was good",2022-10-17
Great location especially for price. Rooms really clean and comfortable. It is a little tired in places and the price of the breakfast it my opinion is ridiculous (27$ pp) we had it one day and it wasn't worth it. Swimming pool is lovely great for kids. And lunch prices much more reasonable. You can walk to most things inc falls and zamb.,2018-02-19
